date;nota_csat;driver_detractor;driver_neutro;driver_promotor;comentario;segmento_cx;partyID;banca
2024;4;;Autorizaciones;;prolemas con la conexion y constante desconfiguracion de los permisos de los usuarios. Teniendo constantemente que configurar el administrador usuario. Tambien este mes se incremento no poder realizar operaciones como por ejemplo el uso de inversiones de ;PYME PES;n/A;Empresas
2024;1;Rendimientos;;;es lento,funciona lente,se cae siempre,ademas en Fima a fin de mes no te da una estadistica de cuanto ganaste como en el online banking ;PYME MICRO;n/A;Empresas
2024;3;Estabilidad;;;Simplemente nos complica bastante que se caiga seguido, que a veces se pone muy lento, y por sobre todo, que muchas veces habiendo rescatado fima con acreditacion inm. no llega a acreditarse y cuando los directores firman las op salen con error;PYME MICRO;n/A;Empresas
2024;3;Operaciones;;; Tiene problemas muy seguido , y ademas, no permite anular a los operadores o modificar los movimientos FIMA, cosa que antes no ocurria;AGRO GRANDES;n/A;Empresas
2024;5;;;Rendimientos;La parte de inversiones deberia mostrar los rendimientos diarios como lo hace la app;PYME PES;n/A;Empresas
2024;3;Estabilidad;;;En el nuevo home banking no se puede acceder a inversiones, y no se pueden emitir cheques, entre otras cosas.;PYME MICRO;n/A;Empresas
2024;3;Operaciones;;; los operadores no podemos anular operaciones en caso de contraorden o error, antes de ser firmadas como en el sistema anterior. Los FIMA tampoco. COmplican la operatoria y se cae seguido;AGRO GRANDES;n/A;Empresas
2024;2;Autorizaciones;;;Pide muchas autorizaciones ademas de la fima digital;EMPRESAS;n/A;Empresas
2024;2;Movimientos;;;No permite acceso a extracto de fondo común de inversion, entre otros;PYME PES;n/A;Empresas
2024;2;Estabilidad;;;muchos problemas para que funcione. Justamente en este momento no puedo retirar del Fima para hacer pagos;PYME MICRO;n/A;Empresas
2024;3;Operaciones;;;No dejan borrar operaciones en caso de error del operador, ni en pagos ni en fima. Complican mucho la gestion,;PYME MICRO;n/A;Empresas
2024;4;;;;Que el fondo Fima no tenga horarios;PYME PES;n/A;Empresas
2024;4;;Operaciones;;Al rescatar o programar FIMA, luego en la consulta de operaciones no se vé la fecha programada. En las transferencias, en la conulta por operaciones no muestra el número de operación. Son datos importantes para evitar más pasos en la registración interna.;AGRO GRANDES;n/A;Empresas
